num of node,2,
num of theta,4,
F,0,1
f1(.;theta 1),0.5,0.5
f1(.;theta 2),0.5,0.5
f1(.;theta 3),0.5,0.5
f1(.;theta 4),0.5,0.5
f2(.;theta 1),0.5,0.5
f2(.;theta 2),0.5,0.5
f2(.;theta 3),0.5,0.5
f2(.;theta 4),0.5,0.5
f3(.;theta 1),0.1,0.9
f3(.;theta 2),0.3,0.7
f3(.;theta 3),0.7,0.3
f3(.;theta 4),0.9,0.1
f4(.;theta 1),0.5,0.5
f4(.;theta 2),0.5,0.5
f4(.;theta 3),0.5,0.5
f4(.;theta 4),0.5,0.5
f5(.;theta 1),0.5,0.5
f5(.;theta 2),0.5,0.5
f5(.;theta 3),0.5,0.5
f5(.;theta 4),0.5,0.5
no comment,,
